Site,Mg_ugL,Ca_ugL,Fe_ugL,V_ugL,Mn_ugL,Co_ugL,Ni_ugL,Cu_ugL,Zn_ugL,Mo_ugL,Cd_ugL,Se_ugL,NO3_ugL,SRP_ugL,NH4_ugL,TDN_ugL,TDP_ugL,TN_ugL,TP_ugL,Alk_mgL,pH,Cond_uScm
CRO,2587,4731,76,0.11,6,0.09,0.25,0.56,0.3,0.08,0.03,0.57,206,7,5,505,8,405,14,17,7.27,61.805
Crouch,425,2315,195,0.76,26,0.55,0.55,0.71,1.29,0.36,0.03,0.57,489,55,17,599,58,812,58,NA,7.04,46.9
EB Au Sable,9429,25263,77.5,0.18,22,0.03,0.05,0.05,0.3,1.41,0.03,0.57,23,2,17,153,5,162,11,102,7.82,269
Elm,3757,17770,719.5,1.78,33,0.06,0.28,0.56,1.54,0.08,0.03,0.57,70,6,20,209,20,317,8,55,6.51,131
Fish,19110,63502,208,0.2,62,0.09,0.73,0.8,0.3,2.23,0.03,1.45,315,5,76,750,5,733,16,154,7.85,891.8
FRY,20263,41496,37.5,0.19,4,0.06,0.09,0.36,0.3,0.12,0.03,1.02,309,4,8,379,5,393,14,80,8.17,473.7
Gratiot,4227,21553,162,1.68,15,0.03,0.21,1.81,6.26,0.33,0.03,0.57,58,6,5,190,5,324,5,49,7.87,163.4
Hills,3701,22595,62,1.15,8,0.03,0.14,9.58,0.52,0.17,0.03,0.57,142,6,3,222,5,317,57,56,7.84,238.8
Lost,3738,16519,232.5,0.46,12,0.07,0.1,0.32,0.3,3.25,0.03,0.57,70,5,12,222,5,179,100,43,4.44,119.5
Mahoning,9554,26147,291,0.24,64,0.18,1.05,0.91,0.65,0.84,0.03,0.57,281,9,41,705,17,715,17,53,7.96,477.2
Manistee,9351,35815,92,0.13,15,0.03,0.05,0.05,0.3,2,0.03,0.57,33,2,16,126,5,120,10,50,8.02,305.9
McQueen,589,2360,201.5,0.28,14,0.34,0.64,0.36,4.18,0.25,0.03,0.57,414,22,3,522,22,788,23,3,6.16,33.8
Mountain,3068,16353,14,0.42,3,0.03,0.09,0.47,0.3,0.26,0.03,0.57,39,5,11,136,5,146,5,41,5.39,118.4
NB Au Sable,9620,26687,44,0.22,9,0.05,0.24,0.09,0.3,1.35,0.07,0.57,4,2,18,216,22,226,8,57,7.99,335.7
Old Woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,4,23,757,11,946,11,NA,8.31,482.8
Paint,24046,51925,222,0.28,24,0.03,0.32,2.06,0.3,2.39,0.03,0.57,114,2,42,421,5,428,9,55,8.15,603.2
Pilgrim,7399,39559,113.5,2.86,19,0.03,0.34,3.09,7.22,0.14,0.03,0.57,96,5,3,189,5,192,5,66,7.86,299.9
Pine,2419,12923,31.5,0.28,8,0.03,0.16,0.62,0.3,0.25,0.03,0.57,58,4,8,177,5,193,11,41,6.75,92.95
Rocky,12704,39160,229.5,0.55,23,0.38,2.11,3.07,2.08,3.63,0.03,0.86,2560,37,127,2759,20,3591,33,76,7.11,751.05
Salmon Trout,4765,24260,112.5,1.66,20,0.03,0.09,0.41,0.97,0.32,0.03,0.57,47,5,8,139,25,139,103,46,5.4,161
Shady,11761,37036,170,0.24,29,0.14,0.71,1.32,0.74,1.18,0.03,1.06,65,5,10,115,5,163,7,102,7.72,458.7
Stony,24730,42848,234,0.59,43,0.1,0.48,0.5,0.3,3.64,0.03,0.57,193,4,90,645,10,607,16,103,7.96,570.3
TC5,227,614,64,0.19,9,0.31,0.51,0.14,1.34,0.08,0.03,0.57,43,87,3,90,89,195,79,3,5.72,12.3
Tenderfoot,3783,12569,120.5,0.24,70,0.03,0.3,0.87,1.65,0.38,0.03,0.57,43,8,8,221,5,443,466,47,5.2,110.3
Trap Rock,3427,18661,73.5,1.35,9,0.03,0.11,6.33,0.3,0.21,0.03,0.57,138,6,3,232,9,209,38,48,NA,199.4
Trout Brook,10932,52989,568,2.08,36,0.23,0.72,0.94,1.2,1.07,0.03,0.57,52,7,3,205,5,201,11,100,7.14,275.1
U36,234,2209,165,0.24,5,0.23,0.5,0.05,0.64,0.08,0.03,0.57,9,26,3,64,25,107,27,NA,6.04,19.9
U8,777,2522,145.5,0.23,9,0.23,0.43,0.09,2.3,0.08,0.03,1.02,1054,52,265,1281,12,1584,12,3,6.89,49.6
Yellow Dog,2566,11021,796,0.83,18,0.03,0.42,0.33,0.3,1.95,0.03,0.57,79,5,18,271,5,196,76,39,5.16,95.8
